"filename", "language", "CSS", "Markdown", "JSON", "JavaScript", "PHP", "Python", "pip requirements", "comment", "blank", "total"
"c:\xampp\htdocs\maacro-v2\api\app.py", "Python", 0, 0, 0, 0, 0, 101, 0, 0, 30, 131
"c:\xampp\htdocs\maacro-v2\api\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 15, 0, 0, 15
"c:\xampp\htdocs\maacro-v2\api\utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\maacro-v2\cleanseTest.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 1, 52
"c:\xampp\htdocs\maacro-v2\components\components.php", "PHP", 0, 0, 0, 0, 104, 0, 0, 0, 19, 123
"c:\xampp\htdocs\maacro-v2\forms\aggregate.php", "PHP", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\cleanse.php", "PHP", 0, 0, 0, 0, 87, 0, 0, 0, 9, 96
"c:\xampp\htdocs\maacro-v2\forms\deduplicate.php", "PHP", 0, 0, 0, 0, 33, 0, 0, 0, 5, 38
"c:\xampp\htdocs\maacro-v2\forms\derive.php", "PHP", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\download.php", "PHP", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\format-revise.php", "PHP", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\merge.php", "PHP", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\statistics.php", "PHP", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\upload.php", "PHP", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\visualize.php", "PHP", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\index.php", "PHP", 0, 0, 0, 0, 71, 0, 0, 0, 8, 79
"c:\xampp\htdocs\maacro-v2\js\dropdown.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\xampp\htdocs\maacro-v2\js\holy-cleanse.js", "JavaScript", 0, 0, 0, 137, 0, 0, 0, 0, 17, 154
"c:\xampp\htdocs\maacro-v2\js\holy-deduplicate.js", "JavaScript", 0, 0, 0, 81, 0, 0, 0, 0, 14, 95
"c:\xampp\htdocs\maacro-v2\js\holy-preview.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\maacro-v2\js\holy-table.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 0, 11, 71
"c:\xampp\htdocs\maacro-v2\js\snackbar.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\maacro-v2\js\utils.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\xampp\htdocs\maacro-v2\script.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"c:\xampp\htdocs\maacro-v2\styles.css", "CSS", 357, 0, 0, 0, 0, 0, 0, 5, 64, 426
"c:\xampp\htdocs\maacro-v2\test.json", "JSON", 0, 0, 250, 0, 0, 0, 0, 0, 1, 251
"c:\xampp\htdocs\maacro-v2\test2.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"c:\xampp\htdocs\maacro-v2\test3.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\maacro-v2\test4.json", "JSON", 0, 0, 1102, 0, 0, 0, 0, 0, 1, 1103
"c:\xampp\htdocs\maacro-v2\todo.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\xampp\htdocs\maacro-v2\utils.css", "CSS", 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\xampp\htdocs\maacro-v2\utils.php", "PHP", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"Total", "-", 376, 68, 1442, 355, 324, 101, 15, 5, 208, 2894
