"filename", "language", "PHP", "CSS", "JavaScript", "pip requirements", "Python", "comment", "blank", "total"
"c:\xampp\htdocs\maacro-v2\api\app.py", "Python", 0, 0, 0, 0, 455, 5, 130, 590
"c:\xampp\htdocs\maacro-v2\api\requirements.txt", "pip requirements", 0, 0, 0, 15, 0, 0, 0, 15
"c:\xampp\htdocs\maacro-v2\components\components.php", "PHP", 116, 0, 0, 0, 0, 0, 20, 136
"c:\xampp\htdocs\maacro-v2\forms\aggregate.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\maacro-v2\forms\cleanse.php", "PHP", 85, 0, 0, 0, 0, 0, 9, 94
"c:\xampp\htdocs\maacro-v2\forms\deduplicate.php", "PHP", 31, 0, 0, 0, 0, 0, 5, 36
"c:\xampp\htdocs\maacro-v2\forms\derive.php", "PHP", 37, 0, 0, 0, 0, 0, 4, 41
"c:\xampp\htdocs\maacro-v2\forms\download.php", "PHP", 16, 0, 0, 0, 0, 0, 5, 21
"c:\xampp\htdocs\maacro-v2\forms\format-revise.php", "PHP", 37, 0, 0, 0, 0, 0, 6, 43
"c:\xampp\htdocs\maacro-v2\forms\join.php", "PHP", 40, 0, 0, 0, 0, 0, 6, 46
"c:\xampp\htdocs\maacro-v2\forms\merge.php", "PHP", 54, 0, 0, 0, 0, 0, 7, 61
"c:\xampp\htdocs\maacro-v2\forms\statistics.php", "PHP", 86, 0, 0, 0, 0, 0, 10, 96
"c:\xampp\htdocs\maacro-v2\forms\upload.php", "PHP", 21, 0, 0, 0, 0, 0, 5, 26
"c:\xampp\htdocs\maacro-v2\forms\visualize.php", "PHP", 70, 0, 0, 0, 0, 0, 9, 79
"c:\xampp\htdocs\maacro-v2\index.php", "PHP", 66, 0, 0, 0, 0, 1, 6, 73
"c:\xampp\htdocs\maacro-v2\js\dropdown.js", "JavaScript", 0, 0, 13, 0, 0, 0, 3, 16
"c:\xampp\htdocs\maacro-v2\js\holy-cleanse.js", "JavaScript", 0, 0, 137, 0, 0, 0, 21, 158
"c:\xampp\htdocs\maacro-v2\js\holy-deduplicate.js", "JavaScript", 0, 0, 76, 0, 0, 0, 18, 94
"c:\xampp\htdocs\maacro-v2\js\holy-derive.js", "JavaScript", 0, 0, 73, 0, 0, 0, 15, 88
"c:\xampp\htdocs\maacro-v2\js\holy-download.js", "JavaScript", 0, 0, 34, 0, 0, 0, 10, 44
"c:\xampp\htdocs\maacro-v2\js\holy-join.js", "JavaScript", 0, 0, 79, 0, 0, 0, 20, 99
"c:\xampp\htdocs\maacro-v2\js\holy-merge.js", "JavaScript", 0, 0, 103, 0, 0, 0, 24, 127
"c:\xampp\htdocs\maacro-v2\js\holy-preview.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 15
"c:\xampp\htdocs\maacro-v2\js\holy-revise.js", "JavaScript", 0, 0, 73, 0, 0, 0, 13, 86
"c:\xampp\htdocs\maacro-v2\js\holy-statistics.js", "JavaScript", 0, 0, 128, 0, 0, 0, 26, 154
"c:\xampp\htdocs\maacro-v2\js\holy-table.js", "JavaScript", 0, 0, 79, 0, 0, 0, 17, 96
"c:\xampp\htdocs\maacro-v2\js\holy-upload.js", "JavaScript", 0, 0, 62, 0, 0, 0, 15, 77
"c:\xampp\htdocs\maacro-v2\js\holy-visualize.js", "JavaScript", 0, 0, 140, 0, 0, 0, 28, 168
"c:\xampp\htdocs\maacro-v2\js\snackbar.js", "JavaScript", 0, 0, 29, 0, 0, 0, 10, 39
"c:\xampp\htdocs\maacro-v2\js\state.js", "JavaScript", 0, 0, 12, 0, 0, 0, 5, 17
"c:\xampp\htdocs\maacro-v2\js\utils.js", "JavaScript", 0, 0, 52, 0, 0, 0, 10, 62
"c:\xampp\htdocs\maacro-v2\script.js", "JavaScript", 0, 0, 63, 0, 0, 0, 7, 70
"c:\xampp\htdocs\maacro-v2\styles.css", "CSS", 0, 529, 0, 0, 0, 7, 100, 636
"c:\xampp\htdocs\maacro-v2\utils.css", "CSS", 0, 42, 0, 0, 0, 0, 11, 53
"Total", "-", 662, 571, 1165, 15, 455, 13, 578, 3459
